case_id;year;month;day;country_id;iso3;country_name;region;city/village;location;location_latitude;location_longitude;location_accuracy;incident_type;perpetrator_type;organizational_affiliation;organizational_affiliation_2;loneactor_id;target_group;grouped_target_group;target_group_2;grouped_target_group_2;weapon_type;grouped_weapon_type;weapon_type_2;grouped_weapon_type_2;weapon_description;fatal;n_killed;n_wounded;description;plot_type;plot_targeting;plot_operational_planning
1999-5-28;1999;5;28;16;SWE;Sweden;Östergöttland;Malexander;m;58.03386516466383;15.277946383099138;2;2;3;Riksfronten ;Nationalsocialistisk front;;301;State institutions;;;302;Firearms;102;Explosives;Pistols, uzi, grenades ;1;2;0;"Three affiliates of a Swedish neo-Nazi network robbed a bank as part of their plan to collect money to fund and create a ""revolutionary"" Nazi organization. Two of the men entered the bank with pistols and grenades while the third stood watch outside with an Uzi. A policeman was dispatched and managed to pull over the three suspects. When he exited his car, they began shooting against him. The perpetrators switched cars and were attempted stopped by two other policemen. The perpetrators shot the policemen in the head on a country road, with their own service pistols. The perpetrator who shot the policemen was also sentenced for war crimes, including the torture of Muslim prisoners, which he had committed during the civil war in the former Yugoslavia as part of a Croatian paramilitary group.";;;
1999-6-23;1999;6;23;6;DEU;Germany;;Nuremberg;;;;;1;3;Nationalsozialistischer Untergrund;;;102;Ethnic/religious minorities;;;100;Explosives;;;Pipe bomb disguised as flashlight;0;0;1;Members of the Nationalsozialistischer Untergrund (NSU) placed a pipe bomb disguised as a flashlight in a bar owned by a Turkish immigrant. An 18-year-old employee sustained injuries to his upper body when he accidentally detonated the pipe bomb. NSU was a terrorist group consisting of three central persons: a woman and two men. Between 2000 and 2007, they murdered nine migrants and a policewoman, committed three bomb attacks as well as a series of attempted murders and robberies. Unlike other terror groups, the NSU did not claimed responsibility for their actions and was not uncovered until 2011 when the two men were found shot dead by suicide. Some hours later, the apartment where the trio had lived under false identities was set on fire (suspected to be by the woman). The police found a service pistol belonging to one of the victims, a Česká CZ 83 used throughout the murders, and a DVD with images of three of the victims. The woman was sentenced to life imprisonment. See organizational affiliation ‘Nationalsozialistischer Untergrund’ for all cases.;;;
1999-6-28;1999;6;28;16;SWE;Sweden;;Nacka;;;;;1;99;;;;202;Political opponents;200;Political opponents;100;Explosives;;;Car bomb;0;0;2;A journalist and his 8-year-old son got into their car and when the father started the ignition, they noticed something was wrong. They opened the car doors and a bomb which was placed underneath the car exploded. Part of the blast from the bomb existed through the open doors and the journalist was injured in his back while the son suffered cuts to the face. The journalist was permantly injured while the son recovered completetly. The journalist and his wife were most likely targeted because they worked as undercover reporters investigating the Swedish right-wing militant movement. They received numerous threats in the months leading up to the attack. Two people were arrested in 2001, suspected for the bombing. The case was reopened in 2004, but closed again in 2007 without any official arrests. ;;;
1999-8-9;1999;8;9;6;DEU;Germany;Niedersachsen;Eschede;m;52.734948497808695;10.232260657871617;2;1;8;;;;200;Political opponents;;;600;Beating/kicking;;;Beating/kicking;1;1;0;Two skinheads, aged 17 and 18,  who had been drinking in the park attacked a man who had criticized one of the perpetrators for his right-wing attitude. They wanted to teach him a lesson and kicked in his door before a brief discussion erupted. They then physically attacked the victim and kicked him with their steel-tip boots when he was on the ground. The victim died in the hospital. The two perpetrators were sentenced to five years in juvenile prison. One perpetrator later became a repenting priest while the other was further drawn into the rightist movement while in prison.;;;
1999-8-15;1999;8;15;6;DEU;Germany;Bavaria;Kolbermoor;Bus stop near Schuhmannstraße;47.85151008649559,;12.063676062795968;1;2;6;;;14;103;Ethnic/religious minorities;;;600;Beating/kicking;;;Beating/kicking;1;1;0;The 31-year old perpetrator was upset that his girlfriend's car had been parked by Africans and attacked the 35-year-old victim of Mozambican origin. The perpetrator hit the victim in the face and when he fell to the ground, he hit his head against the pavement while the perpetrator kicked him multiple times in the face. The victim died more than a month later as a result of severe head injuries. He allegedly said that ‘all filthy blacks should be killed’ during the attack, and the police found Nazi propaganda material in his room. The perpetrator was sentenced to ten years in prison without parole for bodily harm resultign in death. ;;;
1999-9-d;1999;9;d;3;DNK;Denmark;;Rudkøping;;;;;1;2;Blood & Honour (Denmark);;;102;Ethnic/religious minorities;;;301;Firearms;400;Knives/bladed weapons and sharp objects;Saloon rifle and 13 knives;0;0;m;Three members of Danish B&H harassed, threatened and attacked Bosnian refugees. Upon arrest, the police seized a sawed off saloon rifle, 13 knives and several blunt weapons. There is limited information about this case.;;;
1999-10-1;1999;10;1;6;DEU;Germany;Sachsen;Hohenstein-Ernstthal;m;50.79999494734818;12.70281173882361;2;1;8;;;;200;Political opponents;;;500;Blunt instruments;;;Axe handle and pool cue stick;1;1;0;"The victim and his friend were ambushed on their way home from a punk festival by three men who were 'chasing punks in their car'. With a pool cue stick and an axe handle, they hit the victim in the head, causing fatal head injuries. The attack was preceded by an attack by three dozen neo-nazis on a punk festival, followed by a counterattack, and eventually the car chase. In September 2000, the court found that the victim had died ""on behalf of those leftists"" who were involved in the attack on the discotheque. However, the court did not recognize a right-wing extremist background. The 23-year-old main perpetrator was sentenced to 11 years imprisonment for manslaughter.";;;
1999-10-8;1999;10;8;6;DEU;Germany;Sachsen-Anhalt;Löbejün;m;51.6405694954087;11.903057953297631;2;1;4;;;;402;Marginalized groups;;;600;Beating/kicking;800;Other;Beating/kicking and drowning;1;1;0;"The victim, who was mentally disabled, was tortured to death by three people between the ages of 25 and 27. The perpetrators met the victim by chance at a gas station and wanted to teach him ""a lesson"" as he had filed charges against the men for verbal and physical harassment on several occasions. They tortured the victim for several hours, beating and kicking him and submerging him in water. In court, one of the perpetrators allegedly said the victim did not deserve to live because of his disabilities. ";;;
1999-10-12;1999;10;12;16;SWE;Sweden;Stockholm;Stockholm;Sätra;59.288946889640314;17.91482126475178;1;1;2;Nationell Ungdom;;;200;Political opponents;;;302;Firearms;;;Unspecified handgun with .22 caliber;1;1;0;The victim had made a tip to a newspaper about his colleague. This led to an article on September 16, revealing the colleague, a member of the board of the local union, as a member of Nationell Ungdom. As a result of this, the colleague resigned his job and was forced out of the union. Three hours before the murder, the colleague met with two other men who had strong ties to Nationell Ungdom. They went to the victims apartment and shot him to death. The two men were imprisoned for murder. ;;;
1999-10-19;1999;10;19;7;GRC;Greece;Attica;Athens;Metaxourgeio;37.988678841118286;23.718315876113323;1;1;6;Golden Dawn;;32;102;Ethnic/religious minorities;;;302;Firearms;;;Handgun;1;1;2;"On 6 October 1999, during a football match between Greece and Albania in Athens, Albanian supporters burnt a Greek flag in their stand. This act was captured and broadcast extensively by the Greek media, leading to a series of angry reactions by Greek nationalists against foreign immigrants. A 23-year-old man, a nationalist and a member of Golden Dawn, said he felt ""insulted by the burning of the Greek flag"" and went on two shooting sprees (see CaseID: 1999-10-22). In the first one, he asked a group of three men whether they were Kurds. When they answered affirmitative, he shot and killed one of them and injured the other two. One of the injured men was disabled for life. The perpetrators actions inspired fellow Golden Dawn members to form a firm to “to defend Greek national pride inside the stadiums.” The perpetrator was sentenced to two life sentences and 25 years in prison. 
";;;
1999-10-22;1999;10;22;7;GRC;Greece;Attica;Athens;Piraeus;37.957811735596984;23.658353646377048;1;1;6;Golden Dawn;;32;102;Ethnic/religious minorities;;;302;Firearms;;;Handgun;1;1;5;"On 6 October 1999, during a football match between Greece and Albania in Athens, Albanian supporters burnt a Greek flag in their stand. This act was captured and broadcast extensively by the Greek media, leading to a series of angry reactions by Greek nationalists against foreign immigrants. A 23-year-old man, a nationalist and a member of Golden Dawn, said he felt ""insulted by the burning of the Greek flag"" and went on two shooting sprees (see CaseID: 1999-10-19). In the second shooting spree, he shot and killed one person and wounded five others, all of Asian and African descent. Between the shootings, he went to a square known as ""the watering hole of immigrants and junkies"" where he stayed for around three hours. A young Greek man with substance abuse problems followed the perpetrator as he continued the shootings. The perpetrators actions inspired fellow Golden Dawn members to form a firm to “to defend Greek national pride inside the stadiums.” The perpetrator was sentenced to two life sentences and 25 years in prison. 
";;;
1999-12-29;1999;12;29;6;DEU;Germany;Sachsen-Anhalt;Halle;Neustadt;51.47543839315496;11.917192140161239;1;1;4;;;;402;Marginalized groups;;;600;Beating/kicking;;;Beating/kicking;1;1;0;A mentally disabled 39-year-old man was beaten to death in the S-Bahn tunnel by three men, aged 19, 22 and 32 years old. The three men had been put into a compartment by the Federal Boder Police (BGS) and security guards because of aggressive behavior at the main station in Halle. They began abusing the victim who was in the same compartment. Because the employees of the S-Bahn had been informed that the three men were aggressive and shoud be left alone, they did not enter. The circumstances are a bit unclear, but the perpetrators apparently dragged the unconscious victim out of the S-Bahn into a tunnel where they continued the physical assault. When they only found 2.50 marks, they crushed his face with their combat boots. The victim died at the hospital from injuries sutained. Two of the men had previous convictions, one for racially motivated bodily harm ad the other for bodily harm resulting in death. The 32-year-old main perpetrator was sentenced to life imprisonment and the 19-year-old received a youth sentence of nine and a half years. The victim was officially recognized as a victim of right-wing violence in May 2012.;;;
1999-12-31;1999;12;31;16;SWE;Sweden;Stockholm;Skogås;Skogås centrum;59.21800555762358;18.153309283047644;1;2;4;;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;m;On New Years Eve, 10 to 15 skinheads attacked a man on his way home with his family. A witness notified people, including the victims brother,  at the nearby center for Turkish Association. The victims brother was stabbed in the back when he went outside. He died in the ambulance on the way to the hospital. His father was also stabbed when he tried to rescue his son. A 24-year-old man was sentenced to eight years in prison in april 2000. He continued to be linked to the extreme right after his release. ;;;
1999-12-d;1999;12;d;17;CHE;Switzerland;;Unterseen;Bödeli;;;;3;1;Orden der Arischen Ritter;;;102;Ethnic/religious minorities;;;900;Unknown;;;Unknown;0;0;0;The group Orden der Arischen Ritter [Order of the Aryan Knights] planned to murder a 17-year-old Kosovo Albanian. However, the attack was not carried out because the victim was not at the place the perpetrators thought he would be. The place was the same place in which they killed another man a little more than a year later (CaseID: 2001-1-27). The group was founded in 1999 and consisted of five people who wanted to 'protect' against asylum seekers from the Balkans and build an empire with few laws and without foreigners.;1;3;1
2000-1-14;2000;1;14;6;DEU;Germany;Thüringen;Meiningen;m;;;;2;4;;;;102;Ethnic/religious minorities;;;600;Beating/kicking;;;Beating/kicking;0;0;1;A German-Iranian actor was racially insulted, spat at and beaten up by a group of young neo-Nazis. He was injured. Passers-bys did not intervene. There is limited detailed information about this case.;;;
2000-3-4;2000;3;4;13;NOR;Norway;;Stavanger;;;;;2;2;Vigrid;National Alliance;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;0;0;2;"Eight neo nazis were handing out flyers for National Alliance with slogans ecouraging people to save the ""white race.""  When they ran out of flyers, they stabbed a random African man in the crotch. When another African man came to help, they began chasing him while throwing cobblestones. When they caught up with the second man, they stabbed him six times in the back, puncturing his lung. Three of the men are from Stavanger, while the others had travelled to Stavanger and were central activists in Vigrid.    ";;;
2000-3-5;2000;3;5;13;NOR;Norway;;Stavanger;;;;;2;2;Vigrid;;;102;Ethnic/religious minorities;;;400;Knives/bladed weapons and sharp objects;;;Knife;0;0;2;Eight members of Vigrid from different parts of Norway attacked two men, a 36-year-old Algerian man and a 26-year-old Eritrean man, during a nazi demonstration. The 36-year-old victim suffered six stab wounds to the back, one to the ear and one to the head. One of the perpetrators was also involved in CaseID: 1998-9-19. Seven of the eight perpetrators charged, were sentenced to prison for the attack.;;;
2000-3-14;2000;3;14;15;ESP;Spain;Cataluña;Montgat;Calle de Riera d'en Font;41.46847722676475;2.285018182365066;1;1;6;;;245;400;Marginalized groups;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;0;The body of an Ecuadorian citizen was found inside an apartment, where he worked as a caregiver. The victim was naked with several stab wounds, a daisy flower in his ear and the words 'Hitler tenía razón' [Hitler was right], 'KKK -Ku Klux Klan-' and 'Poder Blanco' [White Power] was  written in blood on the walls. At the time of the murder, the victim was alone in the house since the elderly man he was caring for was at a medical center. The case was reopened several times and involved many different suspects. In January 2020, a man was sentenced for the crime. He explained that the victim picked him up at the train station and they had gone to the apartment where they had been drinking together and the victim undressed. The perpetrator then stabbed the victim 17 times out of contempt for the victims homosexual orientation. The perpetrator was a lover of war movies and had been a soldier in Colombia, served in the Spanish army between 2007 and 2008, and had a history of sexual assault, domestic violence and injuries. Investigators found that he had shared Nazi symbols on his social networks.;;;
2000-4-20;2000;4;20;6;DEU;Germany;Niedersachsen;Neuhaus;m;;;;2;4;;;;102;Ethnic/religious minorities;;;600;Beating/kicking;;;Beating/kicking;0;0;1;An African man was brutally beaten and kicked by a group of neo-Nazis. He sustained injuries. There is limited detailed information about this case.;;;
2000-4-29;2000;4;29;6;DEU;Germany;Sachsen-Anhalt;Halberstadt;m;51.890962497190735;11.049512629780155;2;2;6;Blood & Honour (Germany);;15;200;Political opponents;;;400;Knives/bladed weapons and sharp objects;;;Knife;1;1;0;"A 60-year-old man was stabbed to death by his 29-year-old neighbor after complaining to him for playing loud right-wing music, including the forbidden Horst Wessel songs. The perpetrator stabbed the victim four times and he bled to death in the stairwell. The perpetrator claimed he acted in self defense. The investigators found over 80 CDs with neo-Nazi battle songs, dozens of cassettes and videos from the ""Blood & Honor"" network, as well as 90 recent magazines with neo-Nazi propaganda. The perpetrator had been part of the neo-Nazi scene in Halberstadt since the early 1990s and been a part of the state-sponsered project called ""Puppenbühne"" [a youth club for right-wing skinheads and neo-Nazis] since 1996 (closed in 1997) that were found to have undesired effects, including allegedly using the clubs bus to go on raids to attack leftists and immigrants. ";;;
2000-5-25;2000;5;25;6;DEU;Germany;Berlin;Berlin;Pankow;52.593414161199775;13.431096984221538;1;1;4;;;;401;Marginalized groups;;;400;Knives/bladed weapons and sharp objects;600;Beating/kicking;Knife and beating/kicking;1;1;0;"The 60-year-old victim, an unemployed welfare-recipient, was beaten and stabbed to death in his apartment by four neo-Nazis due to his social status. After the brutal murder, the perpetrators stated that ""he had to go, he was an asocial dirt."" ";;;
2000-6-11;2000;6;11;6;DEU;Germany;Sachsen-Anhalt;Dessau;Near the city park;51.84580521007687;12.234431296023057;1;2;4;;;;102;Ethnic/religious minorities;;;600;Beating/kicking;;;Beating/kicking;1;1;0;A Mozambican man was severely abused by three skinheads in Dessau on June 11, 2000 and died on June 14, 2010. The victim was attacked spontaneously when walking through a park. In court, one of the perpetrators allegedly says that he attacked him because he hates black people. One of the pereptrators was sentenced to life imprisonment, while the other two being underaged were sentenced to nine years in prison.;;;
2000-6-14;2000;6;14;6;DEU;Germany;Nordrhein-Westfalen;Multiple locations;Multiple locations;51.732392231809214;7.696537484900834;3;2;6;Nationaldemokratische Partei Deutschlands;Kameradschaft Dortmund;16;301;State institutions;;;399;Firearms;;;Unspecified firearm;1;3;1;The 31-year-old perpetrator was stopped by the police for not wearing a seatbelt, in which he opened fire and seriously injured one of the officers and killed another. A police manhunt was initiated and the perpetrator fatally shot two further policemen at a road block. During the search of his apartment, a fragmented hand grenade, hunting rifles, revolvers and a Hungarian pistol were found. A hidden AK-47 assault rifle was discovered in his parents' house in Selm. In his wallet, a picture of Adolf Hitler, a membership card of the NPD and business cards. The perpetrator shot himself in the forest shortly after the murders. In his apartment there were also membership cards of the DVU and Republicans. Kameradschaft Dortmund put up stickers that read “3-1 for Germany. [name of perpetrator] was a friend of ours.”;;;
2000-6-24;2000;6;24;6;DEU;Germany;Mecklenburg-Vorpommern;Greifswald;m;54.086995193434504;13.388255779525794;2;2;4;;;;401;Marginalized groups;;;600;Beating/kicking;;;Beating/kicking;1;1;0;"A man and two women were arrested after a homeless man was killed. They beat and kicked the victim for almost an hour. The three suspects were assigned to the right-wing scene. The court sentenced the perpetrators to long prison sentences, but did not recognize any right-wing extremist motive. Ten years later, the responsible police spokesman said that ""the motive was clearly against the homeless"".";;;
2000-6-d;2000;6;d;6;DEU;Germany;;Brandenburg;;;;;3;3;National Revolutionäre Zelle;;;200;Political opponents;;;100;Explosives;301;Firearms;At least one functional pipe bomb and  a sniper rifle with 300 rounds of ammunition;0;0;0;The police searched the homes/premises of members of National Revolutionäre Zelle and secured a pipe bomb, a sniper rifle and 300 rounds of ammunition. The founder of the cell was an activist who had established a German Ku Klux Klan division in 1992 and after his early release in 1999 for attempted homicide (CaseID: 1992-5-8), he gathered six more people to form the cell. He tried to persuade the members of the cell to use the bomb and the rifle to attack left-wing activists. In June 2000 the group members were arrested and the bomb was secured. All members were sentenced to several years in prison but no terrorism charges were put forward by the Federal Prosecutor General. The activist was revealed as an informant during the trial and put into witness protection.;4;2;3
2000-6-d-a;2000;6;d;6;DEU;Germany;;Multiple locations;;;;;4;1;Skinheads Sächsische Schweiz;Nationaldemokratische Partei Deutschlands;;900;Unknown;;;100;Explosives;102;Explosives;More than two kilograms of explosives as well as grenades, rifles, pistols and ignition devices;0;0;m;Around 200 police officers searched the homes of members of Skinheads Sächsische Schweiz (SSS). In addition to right-wing extremist propaganda, more than two kilograms of explosives as well as grenades, rifles, pistols and live ignition devices were found. The police conducted another round of searches the following september. Among the people arrested in september was a 33-year-old Nationaldemokratische Partei Deutschlands (NPD) district manager. In the course of the proceedings, further close contacts between the SSS and the NPD were uncovered. For example, members of the SSS regularly acted as guards at NPD events. Members of the SSS testified in court that they had become aware of the group through the NPD. In April 2001, SSS was officially banned. Betwen 80 and 120 members are said to have belonged to the group that had set itself the task of clearing Saxon Switzerland of foreigners, drug addicts and leftists. It was formed in 1996 by former members of the previously banned Wiking-Jugend. It had a strictly hierarchical structure. The Nationale Widerstand Pirna [National Resistance Pirna] was founded in an attempt to create a successor organization, but was banned as well.;;;
2000-6-d-b;2000;6;d;9;IRL;Ireland;;Dublin;;;;;2;4;;;;800;Other;;;400;Knives/bladed weapons and sharp objects;;;Knife;0;0;1;An English tourist was stabbed repeatedly by a gang of youths in a racially motivated attack. The victim, his wife and son were attacked by six or seven youths on their way home who began shouting racial abuse at them. The victim was white but his wife and son were black. The gang shouted: 'N***** out', 'black bastards' and 'monkeys', and threw beer cans at them. The perpetrators tried to grab the womans purse and stabbed the man. The victim suffered massive blood loss from three stab wounds to his back and three to his chest but survived the attack. The victims wife and son were not injured. A 21-year-old perpetrator was sentenced to six and a half years in jail. One of the other perpetrators killed a 15-year-old Nigerian boy ten years later (CaseID: 2010-4-2);;;
2000-7-9;2000;7;9;6;DEU;Germany;Mecklenburg-Vorpommern;Wismar;m;53.886747372413176;11.461793807060227;2;2;4;;;;401;Marginalized groups;;;600;Beating/kicking;;;Beating/kicking;1;1;0;Five men attacked a homeless man in a demolition house. They punched and kicked the victim, leading to severe injuries and resulting in death. According to the police, the perpetrators were right-wing extremists. However, according to the prosecutor, the killing of the homeless cannot be considered a right-wing extremist act. The main perpetrator was sentenced to life imprisonment for murder.;;;
2000-7-11;2000;7;11;15;ESP;Spain;Cataluña;Barcelona;Sant Andreu;41.44243922024511;2.190151191706891;1;1;8;;;;102;Ethnic/religious minorities;;;500;Blunt instruments;;;Baseball bat;1;1;0;Two neo-nazis attacked a Moroccan man with a baseball bat in a park. The victim died at the hospital five days later from the injuries. The perpetrators were sentenced to 11 years in prison. One of the perpetrators allegedly had a long and known history of threats and racist attacks against Moroccan workers without being arrested. ;;;
2000-7-16;2000;7;16;6;DEU;Germany;Rheinland-Pfalz;Ludwigshafen;Oppau;;;;1;4;;;;102;Ethnic/religious minorities;;;200;Arson/firebomb;;;Incidinary device;0;0;3;Four skinheads threw an incendiary device at a refugee shelter. An 11-year-old girl suffered burns to her legs, and two other children were slightly injured by broken glass. The 14 to 18-year-old perpetrators were initially able to escape undetected, but were arrested a few days later and sentenced to high youth sentences in November 2000.;;;
2000-7-27;2000;7;27;6;DEU;Germany;Nordrhein-Westfalen;Düsseldorf;Düsseldorf S-Bahn station Wehrhahn;51.2297038108367;6.797662684566459;1;1;6;;;6;100;Ethnic/religious minorities;;;100;Explosives;;;TNT Pipe bomb;1;1;10;"Ten foreigners - six Jews immigrants from the former Soviet Union and four Russian Germans - were injured when a pipe bomb exploded at a railway station. A pregnant woman lost her unborn child. The bomb was hung in a plastic bag on the railing on the busy footbridge leading into the station. More than 16 years later, a 50-year old former Bundeswehr soldier known as a notorious neo-Nazi who once ran a military surplus store close to the site was arrested. The residents in his neighborhood feared him as the ""Sheriff von Flingern"", who patrolled the neighborhood with his dog or was out in battle gear at night. The suspect had been arrested shortly after the bombing, but was later released for lack of evidence tying him to the crime. While serving prison time for an unrelated charge in 2014, the suspect allegedly boasted about carrying out the attack to a fellow inmate, using a racial slur against immigrants. Prosecutors pointed to a number of admissions the suspect had made in recorded telephone calls. However, in 2018, a court ruled there was insufficient evidence to convict the suspect. When NSU was exposed, there was speculation that the act could be attributed to them but there was no tangible evidence.";;;
2000-7-27-a;2000;7;27;6;DEU;Germany;Mecklenburg-Vorpommern;Ahlbeck;m;53.6709300061214;14.186930170817496;2;2;4;;;;401;Marginalized groups;;;600;Beating/kicking;;;Beating/kicking;1;1;0;"Four young people beat a homeless man to death. In the interrogations with the police, the perpetrators stated their motive as a ""hatred of the homeless."" One said ""asocial people and tramps don't belong in beautiful Ahlbeck."" One of them also stated ""It's a shame we weren't wearing steel toe shoes, then it would have been faster.""";;;
2000-8-11;2000;8;11;6;DEU;Germany;;Königs Wusterhausen;;;;;3;6;;;244;102;Ethnic/religious minorities;;;100;Explosives;;;Ingredients for a pipe bomb;0;0;0;A man was arrested on the suspicion of preparing a bomb attack on an asylum seeker center. The police first searched the home of a known neo-Nazi, where they found instructions on how to build unconventional explosive devices and incendiary devices, as well as small amounts of chemicals that can be used to make explosives. Investigations by the police led to the suspicion that he was planning an attack on a home for asylum seekers. The police searched his apartment again as well as a man found to be his apprentice. The latter confessed that he had manufactured the pipe section for the planned pipe bomb on behalf of the first man and was aware of the purpose of the bomb. He received a prison sentence of 18 months for his involvement in the preparation of the planned bomb attack. The main perpetrator received three years in prison for planning a bomb attack.;2;3;2
2000-9-5;2000;9;5;3;DNK;Denmark;;Holeby;;;;;1;5;;;;102;Ethnic/religious minorities;;;201;Arson/firebomb;;;Molotov cocktails;0;0;0;Two men threw a molotov cocktail against an asylum center. The bottle did not splinter, and fell to the ground outside the center. A small fire erupted, but a resident noticed the fire and it was quickly extinguished. One of the perpetrators, a 44-year-old man, was caught by one of the residents and held on the scene until the police arrived. The police regarded the incident as serious, stating that the attack posed a danger to the life of the inhabitants. The suspected perpetrators were local and had gotten the idea while drinking based on rumours that some of the residents had stolen bikes. ;;;
2000-9-9;2000;9;9;15;ESP;Spain;Cataluña;Barcelona;Carrer d'Aribau;41.38613751707065;2.1626630553745314;1;2;8;Boixos Nois;;;102;Ethnic/religious minorities;;;302;Firearms;;;Handgun;1;1;0;"A Moroccan man was shot in the head and died after crossing the street. His two friends, who were on the opposite side of the road, saw a group of people yelling something before the victim was shot. The person who shot fled on a motorcycle, while the others shouted ""run, run, let's go."" The person accused of the shooting denied the charged and claimed that he had a toy gun and that another person shot the victim. The accused was related to the ultra football group “Boixos Nois” and he had publicly expressed his hatred of Arabs.";;;
2000-9-11;2000;9;11;6;DEU;Germany;Bavaria;Nürnberg;Liegnitzer Str;49.39838826052503;11.145967182648189;1;1;3;Nationalsozialistischer Untergrund;;;102;Ethnic/religious minorities;;;302;Firearms;;;Česká CZ 83 and Bruni Model 315;1;1;0;The victim was one in the series of murders by Nationalsozialistischer Untergrund (NSU) . The owner of a flower business in Schlüchtern was gunned down with eight shots from two guns on the road where he had put up his mobile flower stand. The victim died two days later in hospital. NSU was a terrorist group consisting of three central persons: a woman and two men. Between 2000 and 2007, they murdered nine migrants and a policewoman, committed three bomb attacks as well as a series of attempted murders and robberies. Unlike other terror groups, the NSU did not claimed responsibility for their actions and was not uncovered until 2011 when the two men were found shot dead by suicide. Some hours later, the apartment where the trio had lived under false identities was set on fire (suspected to be by the woman). The police found a service pistol belonging to one of the victims, a Česká CZ 83 used throughout the murders, and a DVD with images of three of the victims. The woman was sentenced to life imprisonment. See organizational affiliation ‘Nationalsozialistischer Untergrund’ for all cases.;;;
2000-9-12;2000;9;12;6;DEU;Germany;Schleswig-Holstein;Schleswig;m;54.52545734165785;9.560999795168167;2;2;8;;;;401;Marginalized groups;200;Political opponents;600;Beating/kicking;;;Beating/kicking;1;1;0;"Two skinheads had been drinking with a homeless man when a quarral erupted as the victim has spoken badly about the right-wing skinhead scene. The perpetrators ""beat up the man and simply let him die.""In July 2001 the district court sentenced the two skinheads to seven years' imprisonment for dangerous bodily harm resulting in death.";;;
2000-9-16;2000;9;16;15;ESP;Spain;;Madrid;;;;;3;8;Alianza para la Unidad Nacional;;;204;Political opponents;;;201;Arson/firebomb;;;Two kilos of chemical substances, molotov cocktails, flammanle liquid;0;0;0;Four people were arrested for possession of weapons and pyrotechnic materials that could be used for manufacturing explosives. Earlier that night, a group of far-right people had stoned a bus containing relatives and sympathizers of ETA prisoners. The police began searching for the perpetrators of the stoning and detained a 43-year-old man, a member of the far-right party Alianza para la Unidad Nacional (AUN) [Alliance for National Unity], who was removing bags from inside a vehicle. The police continued searching the area and detained three additional men, aged 22, 25 and 48, while they were handling a plastic bag that contained three glass containers filled with flammable liquid. In a vehicle parked nearby, the police found far-right propaganda and material to make Molotov cocktails. The police suspected that the detainees intended to throw the incendiary devices against the buses of the relatives of the ETA members, but this was not proven in court. After the arrests, the police searched the homes of the far-rightists and the headquarters of the Alliance for National Unity party. In the home of the AUN member, the police seized three pistols, two Astra and one Mauser, in addition to other weapons. At the AUN headquarters, almost two kilos of chemical substances were seized to make explosives, bladed weapons, and blunt weapons.;1;3;1
2000-9-23;2000;9;23;6;DEU;Germany;Nordrhein-Westfalen;Wuppertal;m;;;;1;4;;;;102;Ethnic/religious minorities;;;201;Arson/firebomb;;;Molotov cocktail;0;0;0;"Skinhead music was booming from a party in the Wichlinghausen district of Wuppertal. Those present were drinking, shouting about ""burning refugee homes"", and decided to ""do something about it"". Seven neo-Nazis then threw two Molotov cocktails at a temporary hostel for Yugoslav refugees. A Molotov cocktail landed on a mattress in a nursery. The residents managed to throw the burning mattress out the window and no one suffered injuries. The perpetrators, four men and three women, all between 16 and 24 years old, were arrested that same morning.";;;
2000-9-29;2000;9;29;15;ESP;Spain;Aragón;Zaragoza;m;41.65117287271027;-0.8888016416745212;2;2;6;;;177;401;Marginalized groups;;;600;Beating/kicking;;;Kicking;1;1;0;After enjoying a night out, the perpetrator came across a homeless man sleeping on the entrance to a garage. The young man began kicking the old man in the head with reinforced toe boots. The victim choked on his own blood when his nose was broken. The pereptrator was charged with murder after remains of the victim were found in his reinforced-toe boots. He was sentenced to 20 years imprisonment. ;;;
2000-10-21;2000;10;21;6;DEU;Germany;Thüringen;Arnstadt;m;;;;1;4;;;;102;Ethnic/religious minorities;;;600;Beating/kicking;;;Beating/kicking;0;0;3;On their way home, three African refugees were followed by around 20 young neo-Nazis from a disco, racially insulted and physically attacked. All three were injured. There is limited detailed information about this case.;;;
2000-10-22;2000;10;22;18;GBR;United Kingdom;England;Birmingham;Bromsgrove Street;52.47325676195006;-1.896921957713779;1;2;5;;;;102;Ethnic/religious minorities;;;600;Beating/kicking;;;Beating/kicking;1;1;0;Two men attacked a Bangladeshi born chef outside a tandoori restaurant. They had been shouting racist abuse at Asian pedestrians from a taxi and the cab driver had told the people to get out of his car. The taxi stopped close to the victim worked and they attacked him. The victim died of internal bleeding in the hospital a month later. ;;;
2000-11-25;2000;11;25;6;DEU;Germany;Mecklenburg-Vorpommern;Greifswald;m;54.08888256790285;13.385228141927447;2;2;4;;;;401;Marginalized groups;;;600;Beating/kicking;;;Beating/kicking;1;1;0;Three skinheads attacked a homeless man, beating and kicking him. The victim died the next day due to severe head injuries. During interrogations, the perpetrators said that they wanted to teach the homeless person a lesson. According to the public prosecutor's office, one of the attackers was a member of the NPD until shortly before the crime. One of the older perpetrators was sentenced to ten years imprisonment. Two of the perpetrators recieved youth sentences of seven and a half and seven years for murder. ;;;
